"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 28, 2020","350.58","349.44","350.72","348.15","48.59M","0.65%"
"Aug 27, 2020","348.33","348.36","349.89","346.54","58.03M","0.22%"
"Aug 26, 2020","347.57","344.73","347.85","344.17","50.79M","1.00%"
"Aug 25, 2020","344.12","343.53","344.14","342.27","38.46M","0.35%"
"Aug 24, 2020","342.92","342.12","342.96","341.10","48.59M","1.01%"
"Aug 21, 2020","339.48","337.99","339.67","337.57","55.11M","0.35%"
"Aug 20, 2020","338.28","335.38","338.77","335.25","42.21M","0.31%"
"Aug 19, 2020","337.23","339.07","339.60","336.64","68.05M","-0.42%"
"Aug 18, 2020","338.64","338.36","339.09","336.64","38.73M","0.22%"
"Aug 17, 2020","337.91","337.92","338.34","337.50","35.48M","0.32%"
"Aug 14, 2020","336.84","336.41","337.42","335.62","47.26M","0.00%"
"Aug 13, 2020","336.83","337.02","338.25","335.85","41.82M","-0.18%"
"Aug 12, 2020","337.44","335.56","338.28","335.56","53.83M","1.39%"
"Aug 11, 2020","332.80","336.95","337.52","332.05","69.60M","-0.83%"
"Aug 10, 2020","335.57","335.05","335.76","332.98","44.28M","0.30%"
"Aug 07, 2020","334.57","333.28","334.68","332.30","57.31M","0.07%"
"Aug 06, 2020","334.33","331.47","334.46","331.15","43.68M","0.67%"
"Aug 05, 2020","332.11","331.47","332.39","331.19","42.87M","0.62%"
"Aug 04, 2020","330.06","328.06","330.06","327.96","41.92M","0.39%"
"Aug 03, 2020","328.79","328.36","329.61","327.74","53.08M","0.70%"
"Jul 31, 2020","326.52","325.90","326.63","321.33","85.21M","0.79%"
"Jul 30, 2020","323.96","321.80","324.40","319.69","61.86M","-0.36%"
"Jul 29, 2020","325.12","322.12","325.73","322.08","48.45M","1.23%"
"Jul 28, 2020","321.17","323.22","323.64","320.87","57.49M","-0.63%"
"Jul 27, 2020","323.22","321.45","323.39","320.80","48.29M","0.73%"
"Jul 24, 2020","320.88","320.73","321.99","319.28","73.77M","-0.64%"
"Jul 23, 2020","322.96","326.42","327.22","321.52","75.74M","-1.19%"
"Jul 22, 2020","326.86","325.01","327.12","324.55","57.79M","0.57%"
"Jul 21, 2020","325.01","326.32","326.91","323.97","57.50M","0.21%"
"Jul 20, 2020","324.32","321.36","325.00","320.81","56.31M","0.81%"
"Jul 17, 2020","321.72","321.88","322.57","319.73","62.78M","0.29%"
"Jul 16, 2020","320.79","319.75","321.26","319.09","54.62M","-0.33%"
"Jul 15, 2020","321.85","322.61","323.01","319.29","87.20M","0.92%"
"Jul 14, 2020","318.92","313.29","319.28","312.05","93.66M","1.30%"
"Jul 13, 2020","314.84","320.24","322.69","314.19","103.00M","-0.87%"
"Jul 10, 2020","317.59","314.40","317.85","312.81","57.55M","1.02%"
"Jul 09, 2020","314.38","316.87","317.09","310.73","83.35M","-0.57%"
"Jul 08, 2020","316.18","314.62","316.27","312.70","54.64M","0.76%"
"Jul 07, 2020","313.78","315.38","317.52","313.37","82.91M","-1.03%"
"Jul 06, 2020","317.05","316.40","317.24","315.59","61.71M","1.54%"
"Jul 02, 2020","312.23","314.29","315.59","311.53","69.34M","0.55%"
"Jul 01, 2020","310.52","309.53","311.86","309.10","72.40M","0.70%"
"Jun 30, 2020","308.36","303.95","310.16","303.85","113.39M","1.28%"
"Jun 29, 2020","304.46","301.41","304.46","299.04","79.77M","1.47%"
"Jun 26, 2020","300.05","306.16","306.39","299.42","127.96M","-2.38%"
"Jun 25, 2020","307.35","303.28","307.61","301.34","89.47M","1.07%"
"Jun 24, 2020","304.09","309.78","310.48","302.13","132.81M","-2.55%"
"Jun 23, 2020","312.05","313.42","314.46","311.62","68.47M","0.46%"
"Jun 22, 2020","310.62","307.95","311.04","306.81","74.65M","0.64%"
"Jun 19, 2020","308.64","314.17","314.38","306.53","135.55M","-1.01%"
"Jun 18, 2020","311.78","309.93","312.27","309.61","80.83M","0.04%"
"Jun 17, 2020","311.66","314.04","314.37","311.04","83.40M","-0.42%"
"Jun 16, 2020","312.96","315.34","315.61","307.93","137.63M","1.92%"
"Jun 15, 2020","307.05","298.03","308.23","296.77","135.78M","0.93%"
"Jun 12, 2020","304.21","308.24","309.08","298.60","194.68M","1.20%"
"Jun 11, 2020","300.61","310.95","312.03","300.04","209.24M","-5.76%"
"Jun 10, 2020","319.00","321.53","322.38","318.25","95.00M","-0.56%"
"Jun 09, 2020","320.79","320.30","322.36","319.38","77.48M","-0.75%"
"Jun 08, 2020","323.20","320.22","323.27","319.63","73.64M","1.21%"
"Jun 05, 2020","319.34","317.23","321.27","317.16","150.52M","2.56%"
"Jun 04, 2020","311.36","311.06","313.00","309.10","75.79M","-0.26%"
"Jun 03, 2020","312.18","310.33","313.16","309.96","92.57M","1.33%"
"Jun 02, 2020","308.08","306.54","308.10","305.14","74.27M","0.83%"
"Jun 01, 2020","305.55","303.60","306.20","303.07","56.78M","0.40%"
"May 29, 2020","304.32","302.46","304.96","299.47","119.27M","0.45%"
"May 28, 2020","302.97","304.76","306.80","302.29","90.77M","-0.18%"
"May 27, 2020","303.53","302.08","303.53","296.90","104.82M","1.49%"
"May 26, 2020","299.08","302.18","302.18","298.73","88.95M","1.23%"
"May 22, 2020","295.44","294.57","295.63","293.22","63.96M","0.19%"
"May 21, 2020","294.88","296.71","297.67","293.70","78.29M","-0.69%"
"May 20, 2020","296.93","295.86","297.86","295.59","85.86M","1.70%"
"May 19, 2020","291.97","294.32","296.19","291.97","95.19M","-1.03%"
"May 18, 2020","295.00","292.87","296.60","292.75","120.32M","3.05%"
"May 15, 2020","286.28","282.38","286.28","281.38","111.15M","0.46%"
"May 14, 2020","284.97","278.79","285.03","276.39","121.98M","1.20%"
"May 13, 2020","281.60","286.02","287.17","279.00","144.72M","-1.77%"
"May 12, 2020","286.67","293.79","294.24","286.52","95.87M","-1.99%"
"May 11, 2020","292.50","290.34","294.00","289.88","79.51M","0.02%"
"May 08, 2020","292.44","291.09","292.95","289.86","76.62M","1.65%"
"May 07, 2020","287.68","287.75","289.78","287.13","75.25M","1.21%"
"May 06, 2020","284.25","288.04","288.46","283.78","73.63M","-0.68%"
"May 05, 2020","286.19","286.64","289.25","283.71","79.57M","0.92%"
"May 04, 2020","283.57","280.74","283.90","279.13","80.87M","0.28%"
"May 01, 2020","282.79","285.31","290.66","281.52","125.18M","-2.65%"
