"Date","Price","Open","High","Low","Vol.","Change %"
"May 12, 2020","51.00","54.88","55.13","51.00","4.93M","-5.61%"
"May 11, 2020","54.03","53.39","54.99","52.97","4.23M","-1.19%"
"May 08, 2020","54.68","53.88","54.86","53.28","3.67M","5.56%"
"May 07, 2020","51.80","51.94","53.15","51.48","4.62M","2.80%"
"May 06, 2020","50.39","52.71","52.81","50.29","6.03M","-2.59%"
"May 05, 2020","51.73","52.49","53.57","51.60","4.40M","1.79%"
"May 04, 2020","50.82","49.35","51.00","48.37","4.50M","0.18%"
"May 03, 2020","50.73","50.73","50.73","50.73","-","0.00%"
"May 02, 2020","50.73","50.73","50.73","50.73","-","0.00%"
"May 01, 2020","50.73","52.22","52.77","50.19","6.10M","-7.43%"
