"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 02, 2021","109.82","116.20","116.44","109.70","839.75K","-5.90%"
"Mar 01, 2021","116.70","112.73","117.55","112.18","700.26K","10.85%"
"Feb 26, 2021","105.28","107.16","111.09","100.40","1.08M","-0.42%"
"Feb 25, 2021","105.72","118.62","119.82","104.93","1.39M","-11.28%"
"Feb 24, 2021","119.16","112.31","119.70","111.13","809.70K","7.18%"
"Feb 23, 2021","111.18","110.03","112.84","101.83","1.20M","-2.64%"
"Feb 22, 2021","114.19","113.86","118.31","113.11","632.08K","-1.94%"
"Feb 19, 2021","116.45","112.42","118.12","112.01","786.22K","6.13%"
"Feb 18, 2021","109.72","112.34","112.73","107.87","661.61K","-4.63%"
"Feb 17, 2021","115.05","114.46","116.04","110.19","883.75K","-2.30%"
"Feb 16, 2021","117.76","123.42","123.75","116.19","617.14K","-1.85%"
"Feb 12, 2021","119.98","117.84","120.78","115.95","491.22K","0.77%"
"Feb 11, 2021","119.06","121.54","122.73","114.03","1.01M","-0.30%"
"Feb 10, 2021","119.42","124.31","124.96","116.44","1.01M","-2.01%"
"Feb 09, 2021","121.87","119.89","123.83","118.67","635.19K","1.48%"
"Feb 08, 2021","120.09","114.94","120.12","114.26","611.79K","7.57%"
"Feb 05, 2021","111.64","110.57","111.90","107.40","748.23K","4.13%"
"Feb 04, 2021","107.21","102.20","107.43","102.20","522.24K","6.25%"
"Feb 03, 2021","100.90","100.24","101.65","97.31","584.03K","0.79%"
"Feb 02, 2021","100.11","99.40","100.66","96.38","784.71K","4.29%"
"Feb 01, 2021","95.99","92.83","97.20","89.70","854.17K","7.46%"
"Jan 29, 2021","89.33","95.04","96.68","88.46","1.15M","-4.61%"
"Jan 28, 2021","93.65","96.58","98.50","92.32","992.53K","-1.06%"
"Jan 27, 2021","94.65","94.75","99.66","91.57","1.34M","-5.45%"
"Jan 26, 2021","100.11","104.39","104.87","99.35","888.59K","-2.04%"
"Jan 25, 2021","102.19","102.44","106.68","97.62","1.26M","-0.33%"
"Jan 22, 2021","102.53","96.19","102.98","95.61","661.84K","3.50%"
"Jan 21, 2021","99.06","102.30","102.75","98.28","748.32K","-2.69%"
"Jan 20, 2021","101.80","101.64","103.98","99.94","691.22K","1.36%"
"Jan 19, 2021","100.43","100.25","100.61","98.10","629.57K","3.88%"
"Jan 15, 2021","96.68","96.76","98.99","93.19","1.08M","-4.49%"
"Jan 14, 2021","101.22","97.48","102.64","97.48","928.44K","5.93%"
"Jan 13, 2021","95.55","97.90","98.26","94.86","633.53K","-2.06%"
"Jan 12, 2021","97.56","93.92","97.77","93.92","798.34K","5.31%"
